player,position,x,y,minute,xg,outcome,shot_type,body_part,match_id
Nicholas Williams Arthuer,Left Wing,115.6,28.4,11,0.06802966,Blocked,Open Play,Left Foot,3943043
Robin Aime Robert Le Normand,Right Center Back,112.9,36.2,12,0.11746518,Off T,Open Play,Right Foot,3943043
Fabián Ruiz Peña,Left Defensive Midfield,101.2,49.8,27,0.048117142,Saved,Open Play,Right Foot,3943043
Daniel Olmo Carvajal,Center Attacking Midfield,95.0,31.2,34,0.02654902,Blocked,Open Play,Right Foot,3943043
Álvaro Borja Morata Martín,Center Forward,113.9,30.2,42,0.07835983,Blocked,Open Play,Right Foot,3943043
Nicholas Williams Arthuer,Left Wing,109.9,28.0,46,0.1124816,Goal,Open Play,Left Foot,3943043
Daniel Olmo Carvajal,Center Attacking Midfield,108.8,32.1,48,0.2455793,Off T,Open Play,Left Foot,3943043
Álvaro Borja Morata Martín,Center Forward,95.8,46.1,54,0.02528921,Blocked,Open Play,Left Foot,3943043
Álvaro Borja Morata Martín,Center Forward,110.9,51.0,54,0.24310583,Wayward,Open Play,Right Foot,3943043
Nicholas Williams Arthuer,Left Wing,97.2,43.4,55,0.04913289,Off T,Open Play,Right Foot,3943043
Lamine Yamal Nasraoui Ebana,Right Wing,103.5,49.7,65,0.16213313,Saved,Open Play,Left Foot,3943043
Aymeric Laporte,Left Center Back,111.9,43.8,66,0.097933225,Blocked,Open Play,Head,3943043
Fabián Ruiz Peña,Left Defensive Midfield,93.3,35.9,69,0.03257165,Off T,Open Play,Left Foot,3943043
Mikel Oyarzabal Ugarte,Center Forward,112.0,24.9,71,0.037707567,Saved,Open Play,Left Foot,3943043
Lamine Yamal Nasraoui Ebana,Right Wing,107.2,50.2,81,0.16392969,Saved,Open Play,Left Foot,3943043
Mikel Oyarzabal Ugarte,Center Forward,111.2,36.3,85,0.2833282,Goal,Open Play,Right Foot,3943043
Fabián Ruiz Peña,Left Defensive Midfield,115.4,35.9,4,0.2029719,Off T,Open Play,Head,3942752
Lamine Yamal Nasraoui Ebana,Right Wing,93.2,47.1,20,0.02681241,Goal,Open Play,Left Foot,3942752
Daniel Olmo Carvajal,Center Attacking Midfield,111.6,50.8,24,0.07387237,Goal,Open Play,Right Foot,3942752
Fabián Ruiz Peña,Left Defensive Midfield,99.7,39.5,35,0.04887295,Blocked,Open Play,Left Foot,3942752
Lamine Yamal Nasraoui Ebana,Right Wing,97.7,49.9,39,0.024287114,Blocked,Open Play,Left Foot,3942752
Lamine Yamal Nasraoui Ebana,Right Wing,100.4,51.7,80,0.05438437,Off T,Open Play,Left Foot,3942752
Pedro González López,Right Center Midfield,101.5,39.7,0,0.11743693,Saved,Open Play,Left Foot,3942226
Nicholas Williams Arthuer,Left Wing,91.9,28.7,11,0.021921165,Off T,Open Play,Right Foot,3942226
Lamine Yamal Nasraoui Ebana,Right Wing,98.9,48.6,14,0.084460065,Off T,Free Kick,Left Foot,3942226
Álvaro Borja Morata Martín,Center Forward,100.2,21.9,15,0.013587153,Blocked,Open Play,Right Foot,3942226
Fabián Ruiz Peña,Left Center Midfield,98.6,41.5,16,0.06860946,Off T,Open Play,Left Foot,3942226
Aymeric Laporte,Left Center Back,95.6,23.8,22,0.020855846,Saved,Open Play,Left Foot,3942226
Daniel Olmo Carvajal,Right Center Midfield,92.1,45.5,38,0.029002221,Saved,Open Play,Right Foot,3942226
Lamine Yamal Nasraoui Ebana,Right Wing,89.1,49.3,44,0.027097616,Saved,Open Play,Left Foot,3942226
Álvaro Borja Morata Martín,Center Forward,112.2,43.8,46,0.15766257,Off T,Open Play,Right Foot,3942226
Daniel Olmo Carvajal,Right Center Midfield,103.6,42.7,51,0.16316466,Goal,Open Play,Right Foot,3942226
Nicholas Williams Arthuer,Left Wing,107.4,52.1,54,0.12471274,Wayward,Open Play,Left Foot,3942226
Fabián Ruiz Peña,Left Center Midfield,96.6,34.4,83,0.04979181,Off T,Open Play,Left Foot,3942226
Ferrán Torres García,Right Wing,106.6,43.2,90,0.051860645,Wayward,Open Play,Head,3942226
Mikel Oyarzabal Ugarte,Center Forward,98.2,43.0,94,0.026732832,Blocked,Open Play,Left Foot,3942226
Daniel Olmo Carvajal,Left Wing,103.5,24.3,96,0.018918002,Blocked,Open Play,Right Foot,3942226
Mikel Oyarzabal Ugarte,Right Center Forward,96.8,54.8,103,0.022105819,Off T,Open Play,Left Foot,3942226
Mikel Oyarzabal Ugarte,Right Center Forward,97.5,44.3,111,0.04228213,Off T,Open Play,Left Foot,3942226
Mikel Merino Zazón,Left Defensive Midfield,112.6,39.2,118,0.20066643,Goal,Open Play,Head,3942226
Ferrán Torres García,Right Midfield,111.5,50.9,121,0.29318613,Wayward,Open Play,Right Foot,3942226
Fabián Ruiz Peña,Left Center Midfield,95.1,40.3,1,0.03403919,Blocked,Open Play,Left Foot,3941018
Pedro González López,Right Center Midfield,109.5,47.0,4,0.2088165,Saved,Open Play,Left Foot,3941018
Fabián Ruiz Peña,Left Center Midfield,110.9,32.9,5,0.0355224,Blocked,Open Play,Head,3941018
Daniel Carvajal Ramos,Right Back,113.4,30.1,9,0.047663942,Saved,Open Play,Head,3941018
Nicholas Williams Arthuer,Left Wing,100.2,33.1,10,0.04628006,Blocked,Open Play,Right Foot,3941018
Fabián Ruiz Peña,Left Center Midfield,103.6,48.1,12,0.068191275,Blocked,Open Play,Left Foot,3941018
Nicholas Williams Arthuer,Left Wing,109.8,23.8,12,0.02863869,Blocked,Open Play,Right Foot,3941018
Aymeric Laporte,Left Center Back,111.8,34.6,15,0.05098217,Blocked,Open Play,Head,3941018
Fabián Ruiz Peña,Left Center Midfield,103.7,54.8,21,0.030612372,Saved,Open Play,Left Foot,3941018
Rodrigo Hernández Cascante,Center Defensive Midfield,87.6,30.5,25,0.016834991,Blocked,Open Play,Right Foot,3941018
Pedro González López,Right Center Midfield,102.1,31.3,26,0.06233343,Off T,Open Play,Left Foot,3941018
Aymeric Laporte,Left Center Back,86.4,29.1,28,0.006787614,Off T,Open Play,Left Foot,3941018
Lamine Yamal Nasraoui Ebana,Right Wing,94.3,48.5,30,0.031005034,Blocked,Open Play,Left Foot,3941018
Marc Cucurella Saseta,Left Back,96.3,28.4,34,0.015615603,Saved,Open Play,Left Foot,3941018
Nicholas Williams Arthuer,Left Wing,113.4,27.4,37,0.042119805,Saved,Open Play,Right Foot,3941018
Rodrigo Hernández Cascante,Center Defensive Midfield,102.1,36.2,38,0.06652527,Goal,Open Play,Left Foot,3941018
Lamine Yamal Nasraoui Ebana,Right Wing,92.7,49.6,46,0.015696,Blocked,Open Play,Left Foot,3941018
Fabián Ruiz Peña,Left Center Midfield,96.2,46.3,45,0.059734892,Off T,Open Play,Right Foot,3941018
Lamine Yamal Nasraoui Ebana,Right Wing,99.6,43.0,50,0.08360341,Saved,Free Kick,Left Foot,3941018
Fabián Ruiz Peña,Left Center Midfield,115.6,35.6,50,0.29910773,Goal,Open Play,Head,3941018
Lamine Yamal Nasraoui Ebana,Right Wing,101.0,47.7,52,0.07618404,Off T,Open Play,Left Foot,3941018
Álvaro Borja Morata Martín,Center Forward,94.8,37.3,54,0.046154205,Off T,Open Play,Right Foot,3941018
Daniel Olmo Carvajal,Right Center Midfield,95.6,45.7,59,0.030945767,Blocked,Open Play,Right Foot,3941018
Daniel Olmo Carvajal,Right Center Midfield,101.6,49.4,60,0.071499854,Wayward,Open Play,Right Foot,3941018
Lamine Yamal Nasraoui Ebana,Right Wing,104.9,41.5,62,0.075688556,Off T,Open Play,Left Foot,3941018
Fabián Ruiz Peña,Left Center Midfield,93.3,30.5,69,0.024543561,Off T,Open Play,Left Foot,3941018
