passer,recipient,x,y,match_id
Unai Simón Mendibil,Robin Aime Robert Le Normand,6.9,39.6,3943043
Robin Aime Robert Le Normand,Daniel Carvajal Ramos,8.9,57.2,3943043
Daniel Carvajal Ramos,Daniel Olmo Carvajal,28.6,76.4,3943043
Álvaro Borja Morata Martín,Lamine Yamal Nasraoui Ebana,61.9,67.1,3943043
Daniel Carvajal Ramos,Daniel Olmo Carvajal,72.5,80.0,3943043
Daniel Olmo Carvajal,Daniel Carvajal Ramos,70.4,73.3,3943043
Daniel Olmo Carvajal,Rodrigo Hernández Cascante,64.5,77.5,3943043
Rodrigo Hernández Cascante,Robin Aime Robert Le Normand,47.1,76.6,3943043
Robin Aime Robert Le Normand,Aymeric Laporte,23.3,60.1,3943043
Aymeric Laporte,Robin Aime Robert Le Normand,42.2,24.9,3943043
Robin Aime Robert Le Normand,Aymeric Laporte,42.9,54.1,3943043
Aymeric Laporte,Lamine Yamal Nasraoui Ebana,61.7,20.2,3943043
Daniel Carvajal Ramos,Robin Aime Robert Le Normand,35.8,75.1,3943043
Robin Aime Robert Le Normand,Daniel Carvajal Ramos,29.0,67.8,3943043
Daniel Carvajal Ramos,Álvaro Borja Morata Martín,41.1,80.0,3943043
Álvaro Borja Morata Martín,Lamine Yamal Nasraoui Ebana,58.4,74.2,3943043
Robin Aime Robert Le Normand,Unai Simón Mendibil,29.2,64.7,3943043
Unai Simón Mendibil,Robin Aime Robert Le Normand,3.2,46.9,3943043
Robin Aime Robert Le Normand,Daniel Carvajal Ramos,10.0,68.1,3943043
Daniel Carvajal Ramos,Robin Aime Robert Le Normand,22.6,76.6,3943043
Robin Aime Robert Le Normand,Unai Simón Mendibil,12.0,63.8,3943043
Unai Simón Mendibil,Robin Aime Robert Le Normand,13.5,37.3,3943043
Robin Aime Robert Le Normand,Unai Simón Mendibil,36.7,66.0,3943043
Unai Simón Mendibil,Aymeric Laporte,10.2,50.2,3943043
Aymeric Laporte,Robin Aime Robert Le Normand,32.5,23.7,3943043
Robin Aime Robert Le Normand,Daniel Carvajal Ramos,33.7,54.4,3943043
Daniel Carvajal Ramos,Álvaro Borja Morata Martín,54.5,76.4,3943043
Robin Aime Robert Le Normand,Aymeric Laporte,42.3,37.7,3943043
Aymeric Laporte,Rodrigo Hernández Cascante,52.6,21.8,3943043
Rodrigo Hernández Cascante,Robin Aime Robert Le Normand,49.0,34.0,3943043
Robin Aime Robert Le Normand,Daniel Carvajal Ramos,52.1,65.6,3943043
Daniel Carvajal Ramos,Lamine Yamal Nasraoui Ebana,72.0,76.4,3943043
Lamine Yamal Nasraoui Ebana,Daniel Carvajal Ramos,78.4,71.3,3943043
Daniel Carvajal Ramos,Robin Aime Robert Le Normand,70.0,64.4,3943043
Robin Aime Robert Le Normand,Aymeric Laporte,50.0,57.5,3943043
Aymeric Laporte,Marc Cucurella Saseta,54.6,29.2,3943043
Marc Cucurella Saseta,Aymeric Laporte,55.5,19.6,3943043
Aymeric Laporte,Robin Aime Robert Le Normand,42.9,25.3,3943043
Robin Aime Robert Le Normand,Álvaro Borja Morata Martín,63.2,58.5,3943043
Álvaro Borja Morata Martín,Daniel Olmo Carvajal,79.1,53.8,3943043
Daniel Olmo Carvajal,Álvaro Borja Morata Martín,91.4,68.5,3943043
Nicholas Williams Arthuer,Daniel Carvajal Ramos,120.0,0.1,3943043
Fabián Ruiz Peña,Álvaro Borja Morata Martín,63.7,10.8,3943043
Álvaro Borja Morata Martín,Rodrigo Hernández Cascante,77.1,24.1,3943043
Rodrigo Hernández Cascante,Robin Aime Robert Le Normand,63.4,22.8,3943043
Robin Aime Robert Le Normand,Daniel Carvajal Ramos,55.9,53.0,3943043
Daniel Carvajal Ramos,Aymeric Laporte,69.0,66.9,3943043
