x,y,match_id,zone
64.9,78.1,3943043,Middle Third - Right
99.6,55.4,3943043,Attacking Third - Right
69.6,73.4,3943043,Middle Third - Right
70.4,72.5,3943043,Middle Third - Right
69.6,70.8,3943043,Middle Third - Right
104.5,39.8,3943043,Attacking Third - Left
107.7,9.8,3943043,Attacking Third - Left
90.1,20.8,3943043,Attacking Third - Left
86.9,15.8,3943043,Attacking Third - Left
110.0,21.8,3943043,Attacking Third - Left
115.5,9.8,3943043,Attacking Third - Left
83.0,23.2,3943043,Attacking Third - Left
64.9,36.0,3943043,Middle Third - Left
104.7,44.6,3943043,Attacking Third - Right
63.7,6.2,3943043,Middle Third - Left
88.8,56.9,3943043,Attacking Third - Right
44.9,68.1,3943043,Middle Third - Right
69.4,74.6,3943043,Middle Third - Right
67.6,77.4,3943043,Middle Third - Right
56.4,73.0,3943043,Middle Third - Right
57.2,73.6,3943043,Middle Third - Right
44.5,22.1,3943043,Middle Third - Left
49.6,21.2,3943043,Middle Third - Left
50.8,25.7,3943043,Middle Third - Left
69.2,7.8,3943043,Middle Third - Left
110.6,57.4,3943043,Attacking Third - Right
8.4,20.6,3943043,Defensive Third - Left
19.0,39.3,3943043,Defensive Third - Left
28.2,58.5,3943043,Defensive Third - Right
15.8,20.2,3943043,Defensive Third - Left
19.9,26.5,3943043,Defensive Third - Left
21.1,32.7,3943043,Defensive Third - Left
99.9,42.2,3943043,Attacking Third - Right
80.4,59.6,3943043,Attacking Third - Right
91.8,27.9,3943043,Attacking Third - Left
84.1,7.3,3943043,Attacking Third - Left
92.8,5.3,3943043,Attacking Third - Left
49.8,12.0,3943043,Middle Third - Left
76.9,36.9,3943043,Middle Third - Left
85.1,55.6,3943043,Attacking Third - Right
36.5,27.6,3943043,Defensive Third - Left
16.8,60.5,3943043,Defensive Third - Right
15.3,57.9,3943043,Defensive Third - Right
20.6,54.8,3943043,Defensive Third - Right
33.9,9.4,3943043,Defensive Third - Left
35.6,38.2,3943043,Defensive Third - Left
104.5,42.6,3943043,Attacking Third - Right
111.1,37.7,3943043,Attacking Third - Left
76.9,70.7,3943043,Middle Third - Right
97.7,51.0,3943043,Attacking Third - Right
15.3,77.1,3943043,Defensive Third - Right
29.6,70.9,3943043,Defensive Third - Right
36.0,41.6,3943043,Defensive Third - Right
104.9,39.6,3943043,Attacking Third - Left
91.0,49.1,3943043,Attacking Third - Right
91.6,74.2,3943043,Attacking Third - Right
74.0,77.5,3943043,Middle Third - Right
63.2,73.8,3943043,Middle Third - Right
64.1,36.1,3943043,Middle Third - Left
36.6,71.1,3943043,Defensive Third - Right
105.3,32.7,3943043,Attacking Third - Left
76.3,4.7,3943043,Middle Third - Left
87.9,60.7,3943043,Attacking Third - Right
86.9,52.4,3943043,Attacking Third - Right
103.4,36.7,3943043,Attacking Third - Left
83.3,6.2,3943043,Attacking Third - Left
84.6,4.0,3943043,Attacking Third - Left
111.5,42.8,3943043,Attacking Third - Right
76.9,44.0,3943043,Middle Third - Right
36.0,54.6,3943043,Defensive Third - Right
40.2,75.8,3943043,Middle Third - Right
39.5,77.6,3943043,Defensive Third - Right
38.6,76.6,3943043,Defensive Third - Right
20.8,22.4,3943043,Defensive Third - Left
110.9,70.2,3943043,Attacking Third - Right
14.6,44.0,3943043,Defensive Third - Right
