x,y,match_id
33.7,66.7,3943043
43.5,39.1,3943043
103.8,8.0,3943043
56.1,5.1,3943043
50.2,26.3,3943043
10.7,43.3,3943043
29.7,54.1,3943043
21.3,71.6,3943043
4.7,26.5,3943043
8.0,45.4,3943043
11.1,43.1,3943043
75.3,4.7,3943043
89.0,72.8,3943043
24.8,39.3,3943043
35.4,67.5,3943043
18.6,44.0,3943043
45.1,64.0,3943043
114.8,33.8,3943043
27.8,24.7,3943043
52.9,29.7,3943043
78.4,76.1,3943043
109.3,73.0,3943043
82.0,54.2,3943043
15.0,53.8,3943043
64.7,59.7,3943043
16.1,5.2,3943043
82.0,14.1,3943043
99.3,20.5,3943043
101.4,72.0,3943043
28.4,16.3,3943043
43.9,23.3,3943043
55.0,46.9,3943043
105.4,53.9,3943043
67.3,25.2,3943043
26.8,31.3,3943043
106.5,66.0,3943043
98.6,47.4,3943043
77.8,56.1,3943043
69.2,11.0,3942752
24.3,50.6,3942752
47.6,21.4,3942752
76.4,3.9,3942752
111.8,8.8,3942752
19.2,9.4,3942752
88.9,24.5,3942752
109.0,51.4,3942752
74.8,42.8,3942752
89.7,47.5,3942752
92.2,49.4,3942752
82.6,24.4,3942752
104.7,46.9,3942752
102.0,54.5,3942752
82.5,14.1,3942752
84.7,2.5,3942752
3.4,37.6,3942752
113.6,19.0,3942752
2.5,37.6,3942752
8.4,57.9,3942752
29.3,54.9,3942752
6.4,47.5,3942752
15.1,39.3,3942752
35.3,57.3,3942752
71.3,7.1,3942752
20.4,18.3,3942752
12.4,33.8,3942752
23.5,40.9,3942752
48.7,33.4,3942752
97.4,14.6,3942752
12.5,72.8,3942752
34.8,75.0,3942752
6.8,58.6,3942752
33.9,36.9,3942752
91.5,36.4,3942752
62.9,51.8,3942752
41.0,76.3,3942752
57.8,74.3,3942752
85.5,4.8,3942752
71.1,4.6,3942226
35.5,14.0,3942226
28.3,16.7,3942226
16.7,42.8,3942226
59.0,68.3,3942226
2.1,44.6,3942226
25.1,30.1,3942226
81.2,57.6,3942226
80.1,75.1,3942226
4.3,45.5,3942226
41.6,18.1,3942226
82.6,43.4,3942226
3.4,41.6,3942226
4.2,44.4,3942226
103.7,49.4,3942226
29.5,52.8,3942226
33.3,56.4,3942226
55.0,53.4,3942226
76.3,30.7,3942226
113.5,30.5,3942226
52.2,73.5,3942226
37.7,65.3,3942226
9.2,22.5,3942226
77.9,62.0,3942226
55.0,56.4,3942226
82.0,30.1,3942226
24.1,57.6,3942226
23.3,34.3,3942226
53.0,35.9,3942226
17.8,37.2,3942226
20.6,29.7,3942226
87.0,50.7,3942226
105.7,51.0,3942226
12.4,22.8,3942226
86.8,41.2,3942226
14.4,62.9,3942226
15.6,64.7,3942226
37.5,54.2,3942226
49.0,77.5,3942226
29.7,42.1,3942226
15.1,53.4,3942226
3.1,27.9,3942226
9.8,22.2,3942226
102.8,50.5,3942226
15.4,44.9,3942226
36.2,8.9,3942226
70.4,76.4,3942226
69.4,15.9,3942226
79.7,23.7,3942226
83.3,20.2,3942226
99.2,68.7,3942226
91.0,41.7,3942226
58.6,24.1,3942226
